"key","year","data_type","species","id","emailed","reason_no_email","downloaded","reply_received","undelivered","auto","data_sent","data_available"
464,1990,"experimental","nonhuman",85,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
465,2002,"experimental","nonhuman",45,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
466,2007,"experimental","nonhuman",89,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
467,2007,"experimental","nonhuman",352,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
468,2011,"experimental","nonhuman",352,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
469,1999,"experimental","nonhuman",179,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
470,2002,"observational","nonhuman",354,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
471,1997,"experimental","nonhuman",92,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
472,2008,"experimental","nonhuman",102,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
473,2007,"experimental","human",200,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
474,2001,"experimental","nonhuman",334,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
475,2018,"experimental","human",304,FALSE,"materials available",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
476,2015,"experimental","human",174,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
477,1990,"experimental","nonhuman",252,FALSE,"no address available",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
478,1985,"experimental","nonhuman",196,FALSE,"no address available",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
479,2005,"experimental","nonhuman",171,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
480,2016,"experimental","human",358,TRUE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
481,2001,"experimental","nonhuman",360,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
482,2014,"experimental","human",254,TRUE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
483,2015,"experimental","human",254,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
484,2011,"experimental","human",284,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
485,2018,"observational","nonhuman",11,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
486,1998,"observational","nonhuman",140,TRUE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
487,2001,"experimental","nonhuman",302,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
488,2009,"observational","human",153,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
489,1995,"experimental","nonhuman",160,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
490,1996,"experimental","nonhuman",160,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
491,1999,"experimental","nonhuman",160,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
492,2014,"experimental","human",70,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
493,1996,"experimental","nonhuman",175,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
494,2004,"experimental","nonhuman",297,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
495,2006,"observational","nonhuman",6,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
496,2008,"observational","nonhuman",6,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
497,2008,"experimental","nonhuman",6,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
498,2009,"experimental","nonhuman",6,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
499,2009,"experimental","nonhuman",6,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
500,2010,"observational","nonhuman",6,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
501,2016,"experimental","nonhuman",299,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
502,2018,"experimental","nonhuman",299,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
503,2010,"experimental","human",353,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
504,2011,"experimental","human",353,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
505,2014,"experimental","human",353,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
506,1987,"experimental","nonhuman",248,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
507,1993,"experimental","human",248,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
508,1997,"experimental","nonhuman",292,FALSE,"data unavailable already known",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
509,2017,"observational","nonhuman",129,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
510,2017,"experimental","human",129,TRUE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
511,1996,"experimental","nonhuman",271,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
512,2003,"observational","nonhuman",48,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
513,2004,"experimental","nonhuman",363,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
514,2006,"observational","nonhuman",48,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
515,2010,"experimental","nonhuman",117,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
516,2012,"observational","nonhuman",104,TRUE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
517,2012,"experimental","nonhuman",117,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
518,2013,"experimental","nonhuman",104,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
519,2013,"experimental","nonhuman",117,TRUE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
520,2013,"experimental","nonhuman",117,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
521,2014,"observational","nonhuman",104,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
522,2014,"experimental","human",104,TRUE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
523,2015,"experimental","human",279,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
524,2015,"experimental","nonhuman",117,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
525,2017,"experimental","nonhuman",117,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
526,2005,"experimental","nonhuman",305,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
527,1990,"experimental","nonhuman",107,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
528,2000,"experimental","nonhuman",107,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
529,2007,"experimental","nonhuman",35,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
530,1993,"experimental","nonhuman",122,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
531,2001,"experimental","human",321,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
532,2012,"experimental","nonhuman",28,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
533,2014,"experimental","human",137,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
534,2017,"experimental","nonhuman",323,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
535,2018,"experimental","nonhuman",323,TRUE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
536,2007,"experimental","human",87,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
537,2006,"experimental","nonhuman",246,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
538,2008,"experimental","nonhuman",246,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
539,1988,"experimental","nonhuman",30,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
540,1980,"experimental","nonhuman",273,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
541,2017,"experimental","human",266,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
542,1999,"experimental","nonhuman",86,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
543,1999,"experimental","nonhuman",86,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
544,1996,"experimental","human",20,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
545,2005,"experimental","nonhuman",20,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
546,2007,"experimental","nonhuman",20,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
547,2010,"experimental","human",20,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
548,2010,"experimental","nonhuman",24,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
549,2015,"experimental","human",236,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
550,2013,"experimental","human",345,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
551,2002,"experimental","nonhuman",194,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
552,2012,"experimental","human",197,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
553,2005,"experimental","nonhuman",40,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
554,2016,"observational","nonhuman",291,TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
555,2010,"experimental","human",167,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
556,2013,"experimental","human",167,TRUE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
557,2016,"experimental","human",105,TRUE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
558,2000,"experimental","nonhuman",118,TRUE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
559,1996,"experimental","nonhuman",346,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
560,2015,"experimental","human",106,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
