"key","year","type","emailed","downloaded","reply_received","data_sent","data_available","n_results","data_complete","analysis_clear","reproduced","code_available"
69,2005,"human experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
70,1981,"nonhuman experimental  ",FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
71,1997,"nonhuman observational  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
72,1995,"human experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
73,1998,"human experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
74,2015,"human experimental  ",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
75,1992,"nonhuman experimental  ",TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA
76,2012,"human experimental  ",TRUE,FALSE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA
77,2012,"human experimental  ",TRUE,FALSE,TRUE,TRUE,TRUE,2,2,2,2,0
78,2013,"nonhuman experimental  ",TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA
